recipe_name,niacin,vitaminB6,vitaminC,sodium,carbohydrates,sugars,calories,thiamin,caloriesFromFat,folate,calcium,fiber,fat,iron,cholesterol,protein,vitaminA,potassium,saturatedFat,magnesium,apple,avocado,bacon,basil,bay lea,beans,beef,bell pepper,black pepper,bouillon,bread,bread crumbs,broccoli,broth,butter,carrot,cayenne pepper,celery,cheese,chicken,chile peppers,chili powder,cilantro,corn,cream,cucumber,cumin,dressing,egg,flour,garlic,ginger,ham,honey,lemon,lettuce,lime,mayonnaise,milk,mushroom,mustard,noodles,oil,olives,onion,oregano,paprika,parsley,pasta,peas,pork ,potatoe,red pepper,rice,roast,rosemary,sage,salsa,salt,salt and ground black pepper,sauce,spinach,stock,sugar,thyme,tomato,vinegar,water,wine,zucchini,category
Almond Mandarin Salad,3.213862,0.1284457,29.75931,326.9864,17.45221,12.70575,246.5281,0.1738185,158.6039,38.28151,74.92799,3.203064,17.62265,1.734225,10.30013,7.730581,3399.542,373.2844,2.756675,56.33445,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Vegetable Salads
Almost Authentic Caesar Salad,2.068971,0.08622487,21.07613,960.8426,14.6153,1.338739,243.0935,0.1571157,168.7433,103.8652,117.7514,2.119043,18.74925,2.19735,16.67708,5.782355,3415.764,205.0463,4.616332,17.49117,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Vegetable Salads
Amazing Asparagus,7.312694,0.1965612,12.7825,1412.306,41.82415,5.595375,603.4037,0.2365225,362.8272,134.4612,456.205,4.191125,40.31414,3.7862,101.6687,19.95317,1543.149,321.5338,23.68164,40.58125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Casseroles
Amazing Crunchy Tofu Salad,3.280422,0.2012236,18.95004,945.6085,36.42857,7.309686,294.8241,0.1467947,122.7446,56.74195,316.0487,2.241093,13.63829,5.634623,0.0,9.222054,4101.766,426.516,2.091242,50.11152,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,Vegetable Salads
Amazing Muffaletta Olive Salad,0.08602533,0.0258557,3.721037,389.4809,3.590195,0.8481828,39.3508,0.00845375,24.31042,4.7106,17.68773,1.089907,2.701158,0.4821672,0.0,0.81267,159.5486,40.9368,0.3839091,4.082925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Vegetable Salads
Amazing Pork Tenderloin in the Slow Cooker,11.15377,0.7399571,1.894292,917.536,5.785751,0.578677,180.0647,0.8535181,33.03547,1.555915,28.57939,0.4777122,3.670608,1.524323,65.45667,24.46943,2.382562,449.6391,1.239614,34.73749,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,Roasts
Amber's Penne Alla Vodka,6.445101,0.3825364,27.31311,501.3715,58.93678,11.24527,560.0605,0.1626573,262.4954,28.6877,117.8131,5.552352,29.16616,4.245621,81.51501,12.23458,2292.044,916.724,14.81072,69.73329,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Pasta
Angel's Pasta,3.900999,0.1419383,19.55588,201.9016,26.87055,4.238381,200.7529,0.006328667,59.44557,48.39433,165.6476,2.990498,6.605063,1.67734,12.096,10.0702,775.3874,429.3123,2.27721,28.14992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Pasta
Angie's Dad's Best Cabbage Coleslaw,0.2951024,0.0760245,17.63993,364.3301,14.10593,12.08622,131.0384,0.02993223,75.72071,23.43725,24.83542,1.508329,8.413412,0.317339,0.0,0.8844687,981.814,117.063,1.302203,7.40885,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,Vegetable Salads
Anna's German Dumplings,2.151376,0.03014135,0.0555,121.7087,17.63183,0.9888367,107.888,0.1836552,18.36371,44.42461,30.04898,0.5888672,2.040412,1.167379,35.845,4.142462,94.5725,63.48159,0.6853728,7.978177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Pasta
Appalachian Slaw,0.7101488,0.189759,38.71437,619.939,12.54642,8.083353,77.06912,0.07732863,26.50961,48.63125,49.05487,3.128562,2.945513,0.701935,1.311,1.852094,380.4624,294.0289,0.469125,19.87125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Vegetable Salads
Apple Butter Pork Loin,28.2718,2.214573,0.9593416,150.6334,25.69298,23.17195,606.5193,2.427211,229.0307,0.3825417,36.99794,0.5159792,25.44785,2.044847,194.1333,64.88889,21.90979,1215.154,8.405252,77.10154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,Roasts
Apple Flavored Pot Roast,14.29733,1.232994,82.04555,611.1637,51.11583,27.73448,792.0872,0.3377299,415.3885,32.99363,67.99388,3.462739,46.15428,6.194601,163.584,41.8102,3399.152,1425.263,18.51829,77.259,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Roasts
Apple Glazed Pork Tenderloin,10.27249,0.6695175,4.55925,154.3525,65.07249,56.89772,434.015,0.8013124,57.87326,7.49425,19.1875,1.331,6.430363,1.254687,61.32,22.49144,71.8475,468.6187,1.494742,31.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Roasts
Apple Sausage Wagon Wheel,3.098335,0.1338767,2.524333,922.6261,50.16599,24.80213,463.4228,0.2162867,220.2306,20.64167,120.2461,4.908631,24.47007,2.298802,61.17427,14.09244,77.84,383.9778,4.647406,63.86063,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Casseroles
Apricot Brisket,14.77783,0.6783683,2.9744,549.7831,52.3539,41.4418,821.6348,0.164135,394.3795,24.9715,71.33283,6.1356,43.81994,7.171378,184.5585,56.30658,2727.483,1424.009,15.57428,67.97117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roasts
Apricot Pork Tenderloin,10.96444,0.7053239,7.855279,199.9691,62.91648,42.9446,439.6831,0.8356764,102.6966,1.947317,30.92346,0.4491689,11.41074,1.847841,85.67042,24.1798,420.7887,464.5186,6.090242,30.74854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Roasts
Artichoke Salad II,1.62933,0.1566517,63.34716,953.2233,15.22192,3.959767,122.9517,0.09457333,46.2765,79.7,64.91167,4.27115,5.141833,0.6982167,15.73,5.205517,3420.358,303.6017,3.049565,17.42667,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vegetable Salads
Ashley's Different Chicken Tetrazzini,8.021081,0.2160448,19.27238,890.0278,30.38953,3.562324,429.8158,0.2237543,205.5798,69.31825,341.8534,2.03575,22.8422,3.078657,78.85125,25.18551,552.3875,301.162,11.14256,42.16262,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,Casseroles
Asiago Sun-Dried Tomato Pasta,13.05228,0.3433522,8.670725,539.2166,51.36862,5.715741,733.0511,0.1275878,423.919,135.2658,110.7625,3.480862,47.10212,3.177079,186.9679,28.719,1815.559,613.8743,26.6077,65.82912,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Pasta
Asian Barbequed Butterflied Leg of Lamb,12.15994,0.222373,2.165028,687.7781,13.27694,8.221309,324.7884,0.119152,159.0948,29.21677,37.19959,0.8897558,17.67719,2.592525,92.94973,26.96121,53.80562,392.3787,7.048253,36.09758,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Roasts
Asian Bok Choy Salad,4.672521,0.47352,106.628,554.01,25.76525,9.578425,327.7724,0.335825,211.3122,170.625,243.3475,4.425,23.47914,4.444075,0.0,9.37255,9466.729,705.54,3.400073,94.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,Vegetable Salads
Asian Kale with Noodles,8.235959,0.3948775,81.04781,1043.449,53.43986,2.58483,444.0829,0.528298,148.7637,162.6235,141.0117,4.01415,16.5293,3.505456,200.5,21.47002,10853.73,484.9819,3.508368,80.22491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Pasta
Asian Pork Tenderloin,17.23099,1.074109,4.321375,921.5591,15.72159,9.30609,385.3806,1.271036,178.0222,11.5175,43.45512,0.7341875,19.78025,2.920085,98.18501,36.61358,122.8471,731.9434,4.152373,52.4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Roasts
Asparagus Casserole II,6.100513,0.2005895,25.9875,1575.099,42.42819,4.73946,470.8328,0.1226773,248.735,149.7015,185.8028,2.695,27.63722,4.641265,107.8838,14.0972,1114.346,365.5665,7.966091,24.194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casseroles
Aunt Karen's Brussels Sprouts Salad,1.451038,0.21182,74.13029,399.7578,8.596618,0.6944392,126.0894,0.1145862,85.75731,121.0988,29.85336,3.937146,9.52859,1.038761,0.0,3.82361,842.4783,420.8375,1.509651,22.83397,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,Vegetable Salads
Autumn Pork Roast,13.56983,0.7208586,12.65658,288.5775,29.82535,22.28719,450.0554,1.171907,188.9711,25.05903,69.97348,1.771257,20.99679,1.804106,91.84,31.40648,4977.708,723.9,6.659106,53.35944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,Roasts
Autumn Pot Roast,5.997773,0.5520498,27.36159,1051.617,25.47706,4.459781,258.7921,0.1732063,88.11785,39.86288,51.60741,4.508916,9.790873,3.157433,47.025,17.46902,4896.432,804.0662,3.806509,47.41654,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,Roasts
Autumn Pot Roast II,7.673789,0.3311314,4.287656,398.4279,6.489119,0.8216334,453.6603,0.09829103,284.3789,16.00097,48.8576,1.420134,31.59765,4.518784,118.615,27.29687,297.9077,306.385,13.90013,28.10649,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Roasts
Autumn Salad,1.391411,0.147614,11.1037,202.1721,38.36605,29.02804,300.4638,0.1252947,148.3333,30.05316,54.75917,4.562634,16.48148,1.263753,15.58333,3.265936,8245.374,423.3537,4.663525,29.29901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vegetable Salads
Avocado and Ham Salad,4.089918,0.4602575,66.17099,453.0303,24.10471,4.716098,261.2488,0.2803788,139.5282,154.3523,52.11308,11.31953,15.50313,1.515226,7.938001,9.674532,3671.909,879.7458,2.807955,52.46375,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Vegetable Salads
Avocado and Tuna Tapas,17.60766,0.6307902,31.22667,154.146,10.97991,1.93051,293.6093,0.1516975,164.1644,99.02732,32.66575,7.391953,18.24049,2.169152,26.511,23.86601,782.0762,754.9327,2.753386,56.471,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Vegetable Salads
Awesome Chicken and Yellow Rice Casserole,15.60107,0.6197417,26.51095,713.5941,32.75704,2.398324,353.1223,0.08713078,96.47904,56.01312,31.08788,2.053306,10.71989,2.747809,85.23141,30.763,490.6816,363.6271,2.449245,49.258,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Casseroles
Awesome Easy Pasta,16.94556,0.40194,3.714,1227.16,51.6693,2.6809,1061.09,0.21844,678.6252,120.8,322.36,3.9,75.4028,3.2113,264.19,44.6265,2110.64,430.99,38.89134,62.69,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pasta
Awesome Herb Roast Leg of Lamb,11.75033,0.1718001,0.5339077,781.1042,1.327779,0.09235313,276.1305,0.1148669,159.7713,21.60392,21.48709,0.3565167,17.75237,2.601332,91.08,26.30767,22.30921,339.4754,6.416749,27.82285,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,Roasts
Awesome Slow Cooker Pot Roast,17.29796,0.99792,0.2745333,638.726,4.872683,0.85127,425.7317,0.2040433,213.1517,17.64867,20.05563,0.1396333,23.68352,4.70106,126.819,45.63106,14.74167,767.7296,8.755277,50.09721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Roasts
